investment_id,fund_name,superfund_type,fund_assets,investment_id,investment_name,asset_class,lifecycle_in,public_offer,return_1yr,return_3yr,return_5yr,investment_size,targetreturn,risk,fee,invfee,admin_fee
124,AON Master Trust,Retail,3.411853,2098,Aon MT - Aon MySuper 49,NULL,1,1,10.112599,9.43236,8.200585,0.07023,3.2,3.5,498,0.0029,0.0065
124,AON Master Trust,Retail,3.411853,403,Aon MT - Aon MySuper 50,Balanced,1,1,10.070403,9.111398,7.970552,0.07439,3.2,3.5,499,0.0029,0.0065
124,AON Master Trust,Retail,3.411853,2109,Aon MT - Aon MySuper 51,NULL,1,1,10.017712,8.790809,7.737797,0.06961,3.2,3.5,499,0.0029,0.0065
124,AON Master Trust,Retail,3.411853,2099,Aon MT - Aon MySuper 52,NULL,1,1,9.956677,8.464023,7.498662,0.0654,3.1,3.5,499,0.0029,0.0065
124,AON Master Trust,Retail,3.411853,2100,Aon MT - Aon MySuper 53,NULL,1,1,9.914811,8.143744,7.262908,0.0625,3.1,2.5,499,0.0029,0.0065
124,AON Master Trust,Retail,3.411853,2101,Aon MT - Aon MySuper 54,NULL,1,1,9.852801,7.82067,7.027008,0.06392,3,2.5,499,0.0029,0.0065
124,AON Master Trust,Retail,3.411853,404,Aon MT - Aon MySuper 55,Balanced,1,1,9.803373,7.498307,6.793208,0.06919,3,2.5,500,0.0029,0.0065
124,AON Master Trust,Retail,3.411853,2102,Aon MT - Aon MySuper 56,NULL,1,1,9.744057,7.176507,6.556947,0.06951,2.9,2.5,500,0.0029,0.0065
124,AON Master Trust,Retail,3.411853,2103,Aon MT - Aon MySuper 58,NULL,1,1,9.605021,6.519781,6.070781,0.05525,2.8,2.5,501,0.0029,0.0065
124,AON Master Trust,Retail,3.411853,2104,Aon MT - Aon MySuper 59,NULL,1,1,9.526267,6.192329,5.829501,0.04835,2.7,2.5,501,0.0029,0.0065
124,AON Master Trust,Retail,3.411853,405,Aon MT - Aon MySuper 60,Conservative Balanced,1,1,9.438075,5.858539,5.586081,0.04388,2.7,2.5,501,0.0029,0.0065
124,AON Master Trust,Retail,3.411853,2105,Aon MT - Aon MySuper 61,NULL,1,1,9.352102,5.529242,5.344629,0.04093,2.6,2.5,502,0.0029,0.0065
124,AON Master Trust,Retail,3.411853,2106,Aon MT - Aon MySuper 62,NULL,1,1,9.24385,5.189541,5.090221,0.03329,2.5,2.5,502,0.003,0.0065
124,AON Master Trust,Retail,3.411853,2107,Aon MT - Aon MySuper 64,NULL,1,1,9.013933,4.510227,4.588065,0.01841,2.3,1.5,503,0.003,0.0065
124,AON Master Trust,Retail,3.411853,406,Aon MT - Aon MySuper 65,Capital Stable,1,1,8.884057,4.164536,4.332582,0.01765,2.2,1.5,504,0.003,0.0065
124,AON Master Trust,Retail,3.411853,2108,Aon MT - Aon MySuper 66,NULL,1,1,8.788444,3.833523,4.089412,0.01008,2.2,1.5,504,0.003,0.0065
124,AON Master Trust,Retail,3.411853,2110,Aon MT - Aon MySuper57,NULL,1,1,9.673533,6.847698,6.313895,0.05558,2.9,2.5,500,0.0029,0.0065
124,AON Master Trust,Retail,3.411853,2111,Aon MT - Aon MySuper63,NULL,1,1,9.138914,4.851202,4.840212,0.02652,2.4,1.5,503,0.003,0.0065
2212,Australia Post Superannuation Scheme,Public Sector,7.781094,2970,APSS Balanced,Balanced,0,0,7.33463,NULL,NULL,0.97601,3,5,658,0.0095,0.0028
125,ASGARD Independence Plan Division Two,Retail,22.910506,431,Asgard Employee Super Account - MySuper 1940s Lifestage Investment,Capital Stable,1,1,5.804922,4.490035,4.005473,0.01516,1.1,1.29,628,0.0059,0.0066
125,ASGARD Independence Plan Division Two,Retail,22.910506,432,Asgard Employee Super Account - MySuper 1950s Lifestage Investment,Conservative Balanced,1,1,5.999996,5.264765,4.747434,0.17908,1.3,1.81,623,0.0059,0.0066
125,ASGARD Independence Plan Division Two,Retail,22.910506,433,Asgard Employee Super Account - MySuper 1960s Lifestage Investment,Balanced,1,1,6.705364,7.59466,6.263183,0.60581,2.1,3.58,623,0.0061,0.0066
125,ASGARD Independence Plan Division Two,Retail,22.910506,434,Asgard Employee Super Account - MySuper 1970s Lifestage Investment,Growth,1,1,7.374326,9.804906,7.672618,0.92897,3.1,4.3,628,0.0063,0.0066
125,ASGARD Independence Plan Division Two,Retail,22.910506,435,Asgard Employee Super Account - MySuper 1980s Lifestage Investment,Growth,1,1,7.39635,9.830706,7.739505,0.76512,3.3,4.3,628,0.0063,0.0066
125,ASGARD Independence Plan Division Two,Retail,22.910506,436,Asgard Employee Super Account - MySuper 1990s Lifestage Investment,Growth,1,1,7.368029,9.789176,7.699972,0.15377,3.3,4.3,628,0.0063,0.0066
125,ASGARD Independence Plan Division Two,Retail,22.910506,437,Asgard Employee Super Account - MySuper 2000s Lifestage Investment,Growth,1,1,7.420845,9.687954,7.606268,0.0006,3.3,4.3,628,0.0064,0.0066
126,Aust Catholic Super & Ret,Industry,8.603071,3761,Aust Catholic Super & Ret - LifetimeOne 40 and below,Growth,1,1,6.685318,NULL,NULL,0.94479,4,4,683,0.0103,0.0041
126,Aust Catholic Super & Ret,Industry,8.603071,3762,Aust Catholic Super & Ret - LifetimeOne 45,Growth,1,1,6.490946,NULL,NULL,0.14404,3.9,4,683,0.0105,0.0041
126,Aust Catholic Super & Ret,Industry,8.603071,3763,Aust Catholic Super & Ret - LifetimeOne 50,Balanced,1,1,6.284384,NULL,NULL,0.15757,3.8,4,683,0.0106,0.0041
126,Aust Catholic Super & Ret,Industry,8.603071,3764,Aust Catholic Super & Ret - LifetimeOne 55,Balanced,1,1,6.041192,NULL,NULL,0.18791,3.6,4,683,0.0108,0.0041
126,Aust Catholic Super & Ret,Industry,8.603071,3765,Aust Catholic Super & Ret - LifetimeOne 60,Conservative Balanced,1,1,5.782644,NULL,NULL,0.17339,3.4,4,683,0.0109,0.0041
126,Aust Catholic Super & Ret,Industry,8.603071,3766,Aust Catholic Super & Ret - LifetimeOne 65,Conservative Balanced,1,1,5.926709,NULL,NULL,0.07024,3,3,638,0.0108,0.0041
126,Aust Catholic Super & Ret,Industry,8.603071,3767,Aust Catholic Super & Ret - LifetimeOne 70 and over,Capital Stable,1,1,6.035576,NULL,NULL,0.08519,2.4,3,683,0.0106,0.0041
127,Australian Ethical Retail Superannuation Fund,Retail,1.853375,456,Aust Ethical MySuper - Balanced,Balanced,0,1,10.216012,8.820898,7.786778,1.04287,3.5,3.7,662,0.007,0.0061
122,AMP Superannuation Savings Trust,Retail,56.744778,2081,Australia Post MySuper 1950s,Conservative Balanced,1,1,5.655716,6.093513,5.553709,0.01512,3.8,2.26,368,0.0065,0.0024
122,AMP Superannuation Savings Trust,Retail,56.744778,2082,Australia Post MySuper 1960s,Balanced,1,1,5.990945,7.432939,6.734166,0.06278,4.3,2.97,403,0.0072,0.0024
122,AMP Superannuation Savings Trust,Retail,56.744778,2083,Australia Post MySuper 1970s,High Growth,1,1,6.281258,9.376998,8.366058,0.07995,5,4.04,433,0.0078,0.0024
122,AMP Superannuation Savings Trust,Retail,56.744778,2084,Australia Post MySuper 1980s,High Growth,1,1,6.605624,9.776327,8.628347,0.06958,5.2,4.27,423,0.0076,0.0024
122,AMP Superannuation Savings Trust,Retail,56.744778,2085,Australia Post MySuper 1990s,High Growth,1,1,6.339782,9.595991,8.521187,0.03907,5.2,4.27,418,0.0075,0.0024
122,AMP Superannuation Savings Trust,Retail,56.744778,2173,Australia Post MySuper Capital Stable,Conservative Balanced,1,1,5.581521,5.670237,5.206105,0.00048,3.7,2.29,348,0.0061,0.0024
129,AustralianSuper,Industry,140.131748,466,AustralianSuper - MySuper Balanced,Balanced,0,1,8.655585,10.714579,9.482377,119.40352,3.84,4,447,0.0056,0.0018
131,AvSuper Fund,Public Sector,2.340549,480,AvSuper - Growth (MySuper),Growth,0,1,6.322248,8.735121,7.521681,0.73769,3.5,3.77,560,0.0038,0.0036
206,The Bendigo Superannuation Plan,Retail,1.333383,484,Bendigo MySuper - Balanced Index Fund,Balanced,1,1,8.341214,7.263982,6.653066,0.04329,3,3,313,0.0043,0.002
206,The Bendigo Superannuation Plan,Retail,1.333383,485,Bendigo MySuper - Conservative Index Fund,Capital Stable,1,1,7.365376,5.558409,5.450305,0.05152,2,2,308,0.0042,0.002
206,The Bendigo Superannuation Plan,Retail,1.333383,486,Bendigo MySuper - Growth Index Fund,Growth,1,1,9.072169,9.024799,7.810281,0.19892,4,4,328,0.0046,0.002
134,Boc Gases Superannuation Fund,Corporate,0.728444,487,BOC MySuper - High Growth,Balanced,0,0,6.71377,8.730085,7.695396,0.4622,2.6,5,654,0.0097,0.0044
122,AMP Superannuation Savings Trust,Retail,56.744778,2182,Brookfield Australia MySuper,Balanced,0,1,8.857785,8.223107,7.673869,0.135,4.4,3.58,275,0.0042,0.001
221,Westpac Mastertrust - Superannuation Division,Retail,6.181933,507,BT Business Super - MySuper 1940s Lifestage Fund,Capital Stable,1,1,5.823777,4.247169,4.828319,0.04785,1.1,1.29,628,0.0059,0.0069
221,Westpac Mastertrust - Superannuation Division,Retail,6.181933,508,BT Business Super - MySuper 1950s Lifestage Fund,Capital Stable,1,1,6.059313,5.093621,5.425202,0.42538,1.3,1.81,623,0.0059,0.0069
